ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,20,20337.178722762583,0.19177963561712616,1,1517,11656,1497,11636
1,69,92938.47702675406,0.04367114107517357,1,421,6295,1342,7216
2,41,54472.38901764683,0.09549255431989552,0,42,0,0,-42
3,20,20164.94720486902,0.15826431844360794,1,591,5941,1777,7127
4,29,26146.978247708023,0.0700993586415051,1,593,6454,1409,7270
5,28,36953.78998775774,0.01625075831337209,0,20,0,0,-20
6,24,27265.079952092856,0.0027878447082819767,1,1284,5782,2164,6662
7,28,22474.24550936533,0.09189803716050048,1,65,5882,1936,7753
8,43,44511.13447770735,0.12540239952361287,1,421,7466,3108,10153
9,48,28939.618202890993,0.27158232747699296,1,1590,20530,1902,20842
10,20,49640.84639411231,0.20723195697967692,1,975,12707,1426,13158
11,26,22007.57987715748,0.09013678036185874,0,11,0,0,-11
12,38,22482.391233569415,0.07426997921778325,1,174,6384,2129,8339
13,25,40293.63407743336,0.036405735462916096,1,528,6171,1512,7155
14,53,21925.5349195211,0.01095270498530615,1,737,20883,2911,23057
15,40,26361.519270968558,0.07057356383617344,1,800,6438,1538,7176
16,22,38787.80730536847,0.05855364353592617,1,195,11260,2517,13582
17,31,54996.41427913326,0.01980893393180079,0,16,0,0,-16
18,36,32898.722421662205,0.2775554880680361,1,650,7863,1474,8687
19,74,27841.75801951025,0.007646497397569587,0,10,0,0,-10
20,42,29834.02134017354,0.332828560059091,1,629,5790,1440,6601
21,21,23614.771488041537,0.07085196826397513,1,354,8894,1639,10179
22,52,27533.167395758654,0.15673359411861365,1,83,6478,4428,10823
23,28,27801.28329760101,0.06046564105097426,1,140,8110,1759,9729
24,39,21360.360112575774,0.028084265571401788,1,433,6237,2187,7991
25,37,51272.45650219361,0.19644505330865172,1,31,6424,1892,8285
26,64,21823.55374964008,0.09920001768317283,1,99,10150,1430,11481
27,18,39785.92319449197,0.04313050149410936,1,599,7359,1671,8431
28,24,24887.187514775083,0.07036560837910803,1,85,5559,1452,6926
29,50,23242.945837420968,0.21799922011095943,0,61,0,0,-61
30,56,28330.749185838995,0.017963647020577147,1,275,6017,3338,9080
31,22,32113.609272720907,0.06974982786965493,1,382,5348,5510,10476
32,32,24653.047300270988,0.006020784089475953,1,1628,17749,2184,18305
33,47,22763.665646845875,0.26722684817442616,0,72,0,0,-72
34,63,21063.52771049862,0.1278032291368429,0,110,0,0,-110
35,56,24974.491326825224,0.10811976459826149,1,726,6698,1706,7678
