ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,1,1,1485,1226,-259
1,1,1,243,1309,1066
2,1,0,3,0,-3
3,1,1,189,1463,1274
4,1,0,22,0,-22
5,1,0,53,0,-53
6,1,1,261,1245,984
7,0,0,24,0,-24
8,1,1,195,1323,1128
9,0,0,42,0,-42
10,0,0,21,0,-21
11,0,0,90,0,-90
12,0,0,6,0,-6
13,1,0,22,0,-22
14,0,0,15,0,-15
15,1,1,153,1655,1502
16,1,1,73,1343,1270
17,0,0,15,0,-15
18,1,0,77,0,-77
19,1,1,2181,1440,-741
20,1,0,71,0,-71
21,0,0,41,0,-41
22,1,0,8,0,-8
23,1,1,1062,3898,2836
24,1,1,217,3220,3003
25,1,1,118,4414,4296
26,1,0,1,0,-1
27,1,0,16,0,-16
28,1,1,967,1242,275
29,0,0,28,0,-28
30,0,0,72,0,-72
31,0,0,15,0,-15
32,1,1,2406,1325,-1081
33,0,0,36,0,-36
34,1,0,11,0,-11
35,0,0,10,0,-10
36,0,0,58,0,-58
37,1,1,1324,1340,16
38,1,0,84,0,-84
39,0,0,29,0,-29
40,1,1,348,1444,1096
41,1,0,77,0,-77
42,0,0,8,0,-8
43,1,0,36,0,-36
44,1,0,12,0,-12
45,1,0,27,0,-27
46,1,1,59,1302,1243
47,0,0,27,0,-27
48,1,1,713,1895,1182
49,1,1,114,2085,1971
50,1,1,979,1275,296
51,0,0,20,0,-20
52,0,0,35,0,-35
53,0,0,66,0,-66
54,0,0,203,0,-203
55,1,1,527,1984,1457
56,1,1,335,1254,919
57,0,0,36,0,-36
58,0,0,100,0,-100
59,0,0,6,0,-6
60,1,0,37,0,-37
61,1,1,120,1598,1478
62,1,0,41,0,-41
63,0,0,75,0,-75
64,1,1,245,1233,988
65,1,1,931,2393,1462
66,1,1,333,2063,1730
67,1,1,409,3019,2610
68,1,1,1179,1358,179
69,0,0,39,0,-39
70,0,0,23,0,-23
71,1,0,94,0,-94
72,1,1,667,1446,779
73,0,0,51,0,-51
74,1,1,300,3047,2747
75,1,1,20,2468,2448
76,1,1,72,2239,2167
77,0,0,41,0,-41
78,1,1,92,1304,1212
79,0,0,16,0,-16
80,1,1,18,1249,1231
81,1,1,114,1201,1087
82,1,0,0,0,0
83,0,0,21,0,-21
84,1,1,504,2416,1912
85,1,1,759,2036,1277
86,0,0,152,0,-152
87,1,1,398,1441,1043
88,0,0,32,0,-32
89,1,1,581,1980,1399
90,1,0,28,0,-28
91,1,1,66,1211,1145
92,0,0,35,0,-35
93,0,0,173,0,-173
94,1,0,12,0,-12
95,0,0,1,0,-1
96,1,1,637,1687,1050
97,0,0,32,0,-32
98,1,0,32,0,-32
99,1,0,30,0,-30
100,1,0,31,0,-31
101,1,1,304,1447,1143
102,1,1,1253,1606,353
103,0,0,32,0,-32
104,0,0,60,0,-60
105,1,0,58,0,-58
106,0,0,101,0,-101
107,1,1,771,1494,723
108,1,0,126,0,-126
109,1,0,53,0,-53
110,1,0,30,0,-30
111,0,0,133,0,-133
112,0,0,60,0,-60
113,0,0,116,0,-116
114,1,0,83,0,-83
115,1,0,38,0,-38
116,0,0,17,0,-17
117,0,0,23,0,-23
118,1,1,536,1287,751
119,1,0,22,0,-22
120,1,1,145,1252,1107
121,1,1,135,1464,1329
122,1,0,18,0,-18
123,0,0,79,0,-79
124,1,0,90,0,-90
125,1,1,795,1215,420
126,1,1,172,1218,1046
127,1,0,4,0,-4
128,1,0,6,0,-6
129,1,1,149,1218,1069
130,0,0,11,0,-11
131,1,0,18,0,-18
132,1,1,275,1742,1467
133,1,1,203,1393,1190
134,1,1,325,1338,1013
135,0,0,16,0,-16
136,1,1,324,1490,1166
137,1,0,8,0,-8
138,1,0,66,0,-66
139,1,0,203,0,-203
140,0,0,49,0,-49
141,1,1,726,1801,1075
142,1,1,657,1677,1020
143,1,1,544,1261,717
144,1,1,98,1346,1248
145,1,1,34,1357,1323
146,1,1,278,1793,1515
147,0,0,61,0,-61
148,0,0,52,0,-52
149,1,0,112,0,-112
150,0,0,5,0,-5
151,1,0,1,0,-1
152,0,0,14,0,-14
153,0,0,38,0,-38
154,1,1,139,1377,1238
155,1,1,117,1210,1093
156,0,0,56,0,-56
157,1,1,2266,1667,-599
158,1,1,569,1280,711
159,0,0,85,0,-85
160,1,1,130,1270,1140
161,0,0,26,0,-26
162,0,0,39,0,-39
163,1,0,34,0,-34
164,0,0,32,0,-32
165,0,0,8,0,-8
166,1,0,43,0,-43
167,1,1,92,1479,1387
168,0,0,138,0,-138
169,1,0,16,0,-16
170,1,1,140,1639,1499
171,0,0,119,0,-119
172,1,0,44,0,-44
173,1,1,185,1353,1168
174,1,1,276,1761,1485
175,1,1,418,1460,1042
176,0,0,35,0,-35
177,0,0,35,0,-35
178,1,1,136,1234,1098
179,1,1,604,1223,619
180,0,0,144,0,-144
181,1,1,151,2087,1936
182,0,0,96,0,-96
183,1,1,39,1681,1642
184,1,0,53,0,-53
185,1,0,21,0,-21
186,0,0,34,0,-34
187,1,1,454,1559,1105
188,1,1,135,1217,1082
189,0,0,152,0,-152
190,1,0,7,0,-7
191,1,1,839,1246,407
192,0,0,41,0,-41
193,1,0,77,0,-77
194,0,0,39,0,-39
195,1,0,14,0,-14
196,1,0,3,0,-3
197,1,1,410,2127,1717
198,1,0,97,0,-97
199,1,0,24,0,-24
200,0,0,2,0,-2
201,1,1,379,1909,1530
202,0,0,17,0,-17
203,0,0,121,0,-121
204,0,0,0,0,0
205,0,0,42,0,-42
206,1,1,1321,1341,20
207,1,0,7,0,-7
208,0,0,72,0,-72
209,1,1,499,1442,943
210,1,1,676,1582,906
211,1,0,21,0,-21
212,0,0,5,0,-5
213,0,0,231,0,-231
214,1,1,340,1221,881
215,1,0,13,0,-13
216,0,0,30,0,-30
217,0,0,72,0,-72
218,0,0,64,0,-64
219,1,0,153,0,-153
220,1,0,3,0,-3
221,1,0,18,0,-18
222,0,0,38,0,-38
223,1,0,25,0,-25
224,0,0,13,0,-13
225,1,0,37,0,-37
226,1,1,623,1473,850
227,1,0,14,0,-14
228,1,1,1011,1403,392
229,1,0,55,0,-55
230,1,1,923,1301,378
231,0,0,68,0,-68
232,1,1,779,1768,989
233,1,1,89,1211,1122
234,0,0,47,0,-47
235,1,1,252,1363,1111
236,1,0,40,0,-40
237,1,1,569,1701,1132
238,1,1,152,1799,1647
239,1,1,10,1321,1311
240,0,0,84,0,-84
241,0,0,25,0,-25
242,1,1,741,1361,620
243,0,0,9,0,-9
244,1,0,90,0,-90
245,1,0,79,0,-79
246,1,0,111,0,-111
247,1,0,129,0,-129
248,1,1,74,1935,1861
249,1,1,975,1551,576
250,1,1,22,1215,1193
251,0,0,19,0,-19
252,1,1,1784,1483,-301
253,1,0,21,0,-21
254,1,0,131,0,-131
255,1,1,1157,1263,106
256,1,1,1601,1535,-66
257,0,0,87,0,-87
258,1,0,33,0,-33
259,1,0,84,0,-84
260,0,0,38,0,-38
261,0,0,60,0,-60
262,1,1,194,1469,1275
263,1,0,5,0,-5
264,0,0,19,0,-19
265,1,0,28,0,-28
266,0,0,192,0,-192
267,1,0,31,0,-31
268,1,1,564,1507,943
269,0,0,18,0,-18
270,1,0,14,0,-14
271,1,1,427,1437,1010
272,1,1,845,1297,452
273,1,1,380,1414,1034
274,0,0,2,0,-2
275,0,0,63,0,-63
276,1,1,240,1866,1626
277,1,1,263,1226,963
278,1,1,488,1481,993
279,1,0,24,0,-24
280,1,1,45,1388,1343
281,0,0,101,0,-101
282,1,1,613,1305,692
283,1,1,403,3976,3573
284,1,1,72,1394,1322
285,1,0,58,0,-58
286,1,0,6,0,-6
287,0,0,36,0,-36
288,1,0,105,0,-105
289,0,0,18,0,-18
290,0,0,51,0,-51
291,1,1,321,1388,1067
292,1,1,292,1422,1130
293,0,0,130,0,-130
294,1,0,14,0,-14
295,1,1,307,1502,1195
296,1,1,482,1218,736
297,1,0,9,0,-9
298,1,1,62,1302,1240
299,1,0,48,0,-48
300,0,0,209,0,-209
301,1,1,176,1292,1116
302,0,0,27,0,-27
303,1,1,661,1588,927
304,0,0,42,0,-42
305,1,0,24,0,-24
306,1,1,401,1872,1471
307,0,0,81,0,-81
308,0,0,13,0,-13
309,1,1,72,1202,1130
310,1,1,233,1940,1707
311,1,1,263,1406,1143
312,1,0,10,0,-10
313,1,0,171,0,-171
314,0,0,4,0,-4
315,1,1,1043,1503,460
316,0,0,121,0,-121
317,1,1,468,1806,1338
318,1,0,10,0,-10
319,1,1,516,1998,1482
320,0,0,138,0,-138
321,0,0,92,0,-92
322,1,1,1656,1314,-342
323,1,0,36,0,-36
324,1,0,147,0,-147
325,0,0,5,0,-5
326,1,0,55,0,-55
327,0,0,0,0,0
328,1,1,58,1270,1212
329,1,0,30,0,-30
330,1,0,3,0,-3
331,0,0,37,0,-37
332,0,0,112,0,-112
333,1,1,82,1406,1324
334,0,0,60,0,-60
335,1,1,36,1525,1489
336,1,1,1068,1206,138
337,1,0,18,0,-18
338,1,1,104,1200,1096
339,1,0,81,0,-81
340,1,1,311,1764,1453
341,1,1,2389,1955,-434
342,1,1,1109,2520,1411
343,0,0,51,0,-51
344,1,1,1452,1240,-212
345,1,0,44,0,-44
346,1,1,283,1609,1326
347,0,0,6,0,-6
348,1,0,18,0,-18
349,1,1,119,1538,1419
350,0,0,48,0,-48
351,1,1,231,1314,1083
352,1,1,752,1224,472
353,0,0,141,0,-141
354,1,0,144,0,-144
355,0,0,90,0,-90
356,0,0,3,0,-3
357,0,0,143,0,-143
358,0,0,59,0,-59
359,1,0,274,0,-274
360,1,0,11,0,-11
361,1,1,386,1246,860
362,0,0,23,0,-23
363,1,0,21,0,-21
364,0,0,29,0,-29
365,1,0,4,0,-4
366,1,0,17,0,-17
367,0,0,7,0,-7
368,1,1,162,1900,1738
369,1,0,41,0,-41
370,0,0,33,0,-33
371,0,0,63,0,-63
372,1,1,152,1202,1050
373,0,0,106,0,-106
374,1,1,376,1308,932
375,0,0,105,0,-105
376,0,0,6,0,-6
377,0,0,3,0,-3
378,1,0,125,0,-125
379,1,1,848,1425,577
380,0,0,123,0,-123
381,1,0,26,0,-26
382,1,1,174,1488,1314
383,1,0,13,0,-13
384,0,0,12,0,-12
385,0,0,27,0,-27
386,1,0,15,0,-15
387,1,0,5,0,-5
388,0,0,51,0,-51
389,1,1,156,1521,1365
390,0,0,144,0,-144
391,1,1,47,1298,1251
392,0,0,27,0,-27
393,0,0,27,0,-27
394,1,1,62,1845,1783
395,1,1,1088,1366,278
396,1,0,6,0,-6
397,0,0,9,0,-9
398,1,1,642,1598,956
399,0,0,165,0,-165
400,0,0,25,0,-25
401,0,0,25,0,-25
402,1,0,14,0,-14
403,0,0,32,0,-32
404,1,1,512,1252,740
405,0,0,41,0,-41
406,1,1,326,1253,927
407,0,0,72,0,-72
408,1,0,120,0,-120
409,1,1,301,1367,1066
410,0,0,7,0,-7
411,1,1,615,1331,716
412,0,0,24,0,-24
413,1,0,69,0,-69
414,0,0,57,0,-57
415,1,0,119,0,-119
416,0,0,74,0,-74
417,0,0,38,0,-38
418,0,0,17,0,-17
419,1,1,206,3554,3348
420,1,0,104,0,-104
421,1,0,86,0,-86
422,1,0,75,0,-75
423,1,0,118,0,-118
424,1,0,12,0,-12
425,1,0,79,0,-79
426,1,0,176,0,-176
427,1,0,26,0,-26
428,1,1,669,1690,1021
429,1,0,21,0,-21
430,1,0,99,0,-99
431,1,0,32,0,-32
432,0,0,30,0,-30
433,0,0,11,0,-11
434,0,0,25,0,-25
435,1,1,388,2963,2575
436,1,1,527,1460,933
437,1,1,140,1411,1271
438,1,0,3,0,-3
439,0,0,40,0,-40
440,1,0,13,0,-13
441,0,0,98,0,-98
442,1,1,204,1489,1285
443,1,1,741,1311,570
444,1,0,204,0,-204
445,0,0,174,0,-174
446,0,0,79,0,-79
447,0,0,13,0,-13
448,1,1,523,1236,713
449,0,0,69,0,-69
450,0,0,56,0,-56
451,1,1,583,1312,729
452,1,0,68,0,-68
453,1,0,99,0,-99
454,1,1,373,1218,845
455,0,0,66,0,-66
456,1,1,334,1841,1507
457,1,1,288,1359,1071
458,0,0,1,0,-1
459,1,1,225,2640,2415
460,1,1,443,1381,938
461,0,0,26,0,-26
462,1,1,80,1489,1409
463,1,1,117,2882,2765
464,1,1,220,1534,1314
465,0,0,12,0,-12
466,1,0,73,0,-73
467,0,0,59,0,-59
468,1,0,114,0,-114
469,1,0,15,0,-15
470,1,0,46,0,-46
471,1,1,701,1395,694
472,0,0,50,0,-50
473,1,0,18,0,-18
474,0,0,25,0,-25
475,0,0,9,0,-9
476,0,0,77,0,-77
477,1,1,557,1229,672
478,0,0,65,0,-65
479,0,0,247,0,-247
480,1,1,30,1546,1516
481,0,0,1,0,-1
482,0,0,12,0,-12
483,1,0,53,0,-53
484,0,0,48,0,-48
485,1,0,45,0,-45
486,1,1,255,1570,1315
487,0,0,51,0,-51
488,0,0,71,0,-71
489,0,0,16,0,-16
490,0,0,42,0,-42
491,1,0,12,0,-12
492,0,0,28,0,-28
493,0,0,15,0,-15
494,0,0,63,0,-63
495,0,0,70,0,-70
496,0,0,0,0,0
497,0,0,12,0,-12
498,0,0,5,0,-5
499,0,0,115,0,-115
500,1,0,44,0,-44
501,0,0,39,0,-39
502,0,0,8,0,-8
503,0,0,32,0,-32
504,0,0,16,0,-16
