ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,29,20077.39786234474,0.04371630511716868,1,980,9128,1539,9687
1,61,65244.30607263806,0.040357271082862675,1,723,10736,2178,12191
2,21,28670.798739031197,0.04534588954101329,1,656,6489,1807,7640
3,35,22288.822171271953,0.04745687059123615,1,999,5552,1861,6414
4,30,21007.078890774665,0.015570672528274505,1,490,7980,1635,9125
5,38,34590.67891703238,0.0807029394201509,1,352,6724,1490,7862
6,28,20420.8691620591,0.10400468927497841,1,407,6299,1976,7868
7,21,35474.24462658403,0.11405279451392854,1,589,8777,1511,9699
8,53,21997.519647281733,0.14691599804695682,0,92,0,0,-92
9,21,20115.25604634296,0.205034899781909,1,233,17906,2609,20282
10,38,46072.220467588166,0.1469963422765479,0,9,0,0,-9
11,44,26752.676528237535,0.23286488891003343,1,667,9592,1470,10395
12,29,23294.667099430546,0.05750524642697334,1,402,5714,1392,6704
13,41,25842.49390648829,0.17021366270292726,1,319,23510,1341,24532
14,25,20287.405248847295,0.0011561074821904071,1,132,22488,1445,23801
15,48,22984.102551838332,0.0023707276745656885,1,658,6568,1752,7662
16,21,21587.513934723254,0.03693734361397694,1,125,10685,1505,12065
17,29,22595.00251307644,0.0276844140969569,1,401,6889,1439,7927
18,70,22768.002924160035,0.01436952743601865,1,101,6409,1483,7791
19,20,138875.27870385034,0.13279722378678063,0,31,0,0,-31
20,39,20136.551680194312,0.027026002429542086,1,130,6610,1542,8022
21,30,27627.45050991593,0.23946763651592212,0,13,0,0,-13
22,48,22348.498271542798,0.18264283081712906,0,21,0,0,-21
23,25,30960.199689504083,0.34200775323435195,1,115,8120,1539,9544
24,22,24932.90481747963,0.04993348771735301,1,1122,26585,1479,26942
25,20,23892.639659507684,0.04782969104265805,1,185,12592,1369,13776
26,46,35693.430830985766,0.022217039679085143,1,149,7226,3126,10203
27,67,20441.837007336933,0.01936665380562628,1,258,5462,1556,6760
28,19,24580.69383821019,0.062387117435155175,1,651,16635,2366,18350
29,70,22513.7662064957,0.12717509045323144,1,105,8090,1719,9704
30,27,24625.960046602984,0.33421723750541155,1,760,7095,1758,8093
31,27,22394.8417831561,0.004248580137416535,0,67,0,0,-67
32,28,36126.92681450909,0.07266381773497156,1,1519,18140,1925,18546
