ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,0,0,40,0,-40
1,1,0,52,0,-52
2,1,1,347,1219,872
3,0,0,63,0,-63
4,1,1,759,2041,1282
5,0,0,13,0,-13
6,0,0,31,0,-31
7,0,0,23,0,-23
8,1,0,56,0,-56
9,0,0,39,0,-39
10,1,0,170,0,-170
11,1,1,100,2112,2012
12,1,1,574,1334,760
13,0,0,58,0,-58
14,1,0,34,0,-34
15,0,0,63,0,-63
16,0,0,75,0,-75
17,0,0,7,0,-7
18,1,1,630,1926,1296
19,1,0,35,0,-35
20,1,0,86,0,-86
21,0,0,83,0,-83
22,1,1,522,1746,1224
23,1,0,44,0,-44
24,1,1,196,1306,1110
25,1,1,625,1299,674
26,0,0,90,0,-90
27,1,1,205,1257,1052
28,1,0,5,0,-5
29,0,0,79,0,-79
30,0,0,30,0,-30
31,1,0,172,0,-172
32,0,0,18,0,-18
33,1,0,155,0,-155
34,0,0,42,0,-42
35,1,1,130,1645,1515
36,0,0,4,0,-4
37,1,0,19,0,-19
38,0,0,153,0,-153
39,0,0,49,0,-49
40,0,0,4,0,-4
41,0,0,190,0,-190
42,1,1,253,1570,1317
43,1,1,1202,1224,22
44,0,0,21,0,-21
45,0,0,26,0,-26
46,1,0,14,0,-14
47,0,0,5,0,-5
48,1,0,0,0,0
49,1,0,31,0,-31
50,1,0,11,0,-11
51,1,1,381,2228,1847
52,0,0,26,0,-26
53,1,1,124,2939,2815
54,1,0,25,0,-25
55,1,1,362,1623,1261
56,0,0,72,0,-72
57,0,0,19,0,-19
58,1,0,61,0,-61
59,0,0,19,0,-19
60,0,0,58,0,-58
61,1,1,987,1306,319
62,1,0,51,0,-51
63,0,0,37,0,-37
64,1,0,12,0,-12
65,0,0,5,0,-5
66,0,0,20,0,-20
67,0,0,15,0,-15
68,1,0,29,0,-29
69,0,0,5,0,-5
70,1,0,30,0,-30
71,1,0,12,0,-12
72,0,0,20,0,-20
73,1,0,25,0,-25
74,0,0,40,0,-40
75,0,0,29,0,-29
76,0,0,39,0,-39
77,1,0,21,0,-21
78,1,1,109,1264,1155
79,0,0,19,0,-19
80,0,0,8,0,-8
81,1,0,86,0,-86
82,0,0,12,0,-12
83,0,0,83,0,-83
84,1,0,9,0,-9
85,0,0,44,0,-44
86,1,1,106,1491,1385
87,1,0,39,0,-39
88,1,1,131,2051,1920
89,1,0,20,0,-20
90,1,0,36,0,-36
91,0,0,2,0,-2
92,0,0,28,0,-28
93,0,0,29,0,-29
94,0,0,9,0,-9
95,1,1,395,1463,1068
96,0,0,1,0,-1
97,0,0,65,0,-65
98,0,0,71,0,-71
99,1,1,130,1326,1196
100,0,0,38,0,-38
101,0,0,152,0,-152
102,1,1,198,1226,1028
103,1,1,562,1965,1403
104,1,1,433,1211,778
105,1,1,399,1274,875
106,1,1,575,1476,901
107,1,0,21,0,-21
108,1,1,1012,1303,291
109,1,1,53,1598,1545
110,1,1,73,1275,1202
111,0,0,19,0,-19
112,0,0,33,0,-33
113,1,1,6,2252,2246
114,1,1,666,1288,622
115,1,1,783,1290,507
116,0,0,34,0,-34
117,1,1,97,1257,1160
118,0,0,1,0,-1
119,0,0,1,0,-1
120,0,0,4,0,-4
121,1,1,585,2373,1788
122,0,0,7,0,-7
123,0,0,2,0,-2
124,0,0,44,0,-44
125,0,0,39,0,-39
126,0,0,42,0,-42
127,0,0,137,0,-137
128,1,0,68,0,-68
129,1,1,161,1261,1100
130,1,0,4,0,-4
131,1,1,982,1209,227
132,1,1,190,1827,1637
133,1,1,1110,1222,112
134,1,0,46,0,-46
135,1,0,45,0,-45
136,1,1,303,1299,996
137,1,0,77,0,-77
138,0,0,5,0,-5
139,1,0,58,0,-58
140,0,0,12,0,-12
141,1,0,36,0,-36
142,1,0,6,0,-6
143,1,1,96,1305,1209
144,0,0,66,0,-66
145,1,0,14,0,-14
146,0,0,14,0,-14
147,0,0,36,0,-36
148,0,0,22,0,-22
149,1,1,168,1645,1477
150,1,0,6,0,-6
151,1,0,78,0,-78
152,0,0,16,0,-16
153,1,0,11,0,-11
154,1,1,363,1569,1206
155,1,1,410,1393,983
156,0,0,72,0,-72
157,0,0,56,0,-56
158,1,1,448,4416,3968
159,0,0,11,0,-11
160,1,0,0,0,0
161,0,0,24,0,-24
162,1,0,63,0,-63
163,0,0,20,0,-20
164,1,1,1057,1255,198
165,1,1,446,1691,1245
166,0,0,122,0,-122
167,0,0,149,0,-149
168,1,1,797,1265,468
169,1,0,169,0,-169
170,1,1,1658,1208,-450
171,1,1,666,1336,670
172,0,0,181,0,-181
173,0,0,14,0,-14
174,0,0,50,0,-50
175,0,0,55,0,-55
176,1,1,416,1844,1428
177,1,0,51,0,-51
178,0,0,131,0,-131
179,0,0,5,0,-5
180,0,0,95,0,-95
181,1,1,56,1371,1315
182,0,0,11,0,-11
183,0,0,40,0,-40
184,0,0,4,0,-4
185,1,0,4,0,-4
186,0,0,116,0,-116
187,1,0,36,0,-36
188,0,0,59,0,-59
189,0,0,142,0,-142
190,1,1,996,1285,289
191,1,0,17,0,-17
192,1,1,491,1578,1087
193,0,0,9,0,-9
194,0,0,61,0,-61
195,1,0,81,0,-81
196,0,0,35,0,-35
197,1,0,36,0,-36
198,1,0,8,0,-8
